Time,ores_metal_imports
2017,2.1269786715695
2016,2.2471436043927997
2015,2.2391248967222004
2014,1.7395987072763002
2013,1.6923975756476
2012,1.8674539129538
2011,1.8728882087705
2010,1.7159332389108997
2009,1.3122542454552
2008,2.7753835928468997
2007,2.5098539221371
2006,2.3546484933958
2005,1.8420054517097
2004,1.9595058917338002
2003,1.9926327599579998
2002,1.6574843827905
2001,1.2217925692941
2000,1.5367001689351
1999,1.7421064067441001
1998,1.4523145917146998
1997,1.3810351638505
1996,1.492595151018
1995,1.9817322583739998
1994,1.3532979338251998
1993,1.3918551333879
1992,1.3271456213919
