Time,unemployment
1991,20.121000289917
1992,20.006999969482397
1993,20.0160007476807
1994,20.0
1995,16.8999996185303
1996,21.0
1997,22.899999618530302
1998,25.0
1999,25.3700008392334
2000,23.2700004577637
2001,25.3700008392334
2002,27.1800003051758
2003,27.1200008392334
2004,24.6700000762939
2005,23.8400001525879
2006,22.6200008392334
2007,22.3299999237061
2008,22.4300003051758
2009,23.5400009155273
2010,24.690000534057603
2011,24.649999618530302
2012,24.7299995422363
2013,24.5699996948242
2014,24.899999618530302
2015,25.1599998474121
2016,26.5499992370605
2017,27.3299999237061
